Vehicle Name,Rate,Destination,UpdatedDate
Tempo-407,0,Aligrah,02/04/2022
LCV-709,0,Aligrah,02/04/2022
LCV-17 Ft.,0,Aligrah,02/04/2022
Truck-19 Ft.,0,Aligrah,02/04/2022
Cont.-19 Ft.,0,Aligrah,02/04/2022
Cont.-20 Ft.,0,Aligrah,02/04/2022
Cont.-32 Ft.,0,Aligrah,02/04/2022
Cont.-32 Ft.9,0,Aligrah,02/04/2022
LCL,0,Aluva,02/04/2022
PICK UP,0,Aluva,02/04/2022
Tempo-407,0,Aluva,02/04/2022
LCV-709,0,Aluva,02/04/2022
LCV-17 Ft.,0,Aluva,02/04/2022
Truck-19 Ft.,0,Aluva,02/04/2022
Cont.-19 Ft.,0,Aluva,02/04/2022
Cont.-20 Ft.,0,Aluva,02/04/2022
Cont.-32 Ft.,0,Aluva,02/04/2022
Cont.-32 Ft.9,0,Aluva,02/04/2022
LCL,0,Alwar,02/04/2022
PICK UP,0,Alwar,02/04/2022
Tempo-407,0,Alwar,02/04/2022
LCV-709,0,Alwar,02/04/2022
LCV-17 Ft.,0,Alwar,02/04/2022
Truck-19 Ft.,0,Alwar,02/04/2022
Cont.-32 Ft.,0,Alwar,02/04/2022
Cont.-32 Ft.9,0,Alwar,02/04/2022
LCL,0,Ambala,02/04/2022
PICK UP,0,Ambala,02/04/2022
Tempo-407,0,Ambala,02/04/2022
LCV-709,0,Ambala,02/04/2022
LCV-17 Ft.,0,Ambala,02/04/2022
Truck-19 Ft.,0,Ambala,02/04/2022
LCL,0,Ambernath,02/04/2022
Cont.-32 Ft.,0,Ambernath,02/04/2022
Cont.-32 Ft.9,0,Ambernath,02/04/2022
LCL,0,AMMAN,02/04/2022
Export 20 ft,0,AMMAN,02/04/2022
Export 40 ft,0,AMMAN,02/04/2022
LCL,0,Amritsar,02/04/2022
PICK UP,0,Amritsar,02/04/2022
Tempo-407,0,Amritsar,02/04/2022
LCV-709,0,Amritsar,02/04/2022
LCV-17 Ft.,0,Amritsar,02/04/2022
Truck-19 Ft.,0,Amritsar,02/04/2022
Cont.-19 Ft.,0,Amritsar,02/04/2022
Cont.-20 Ft.,0,Amritsar,02/04/2022
Cont.-32 Ft.,0,Amritsar,02/04/2022
Cont.-32 Ft.9,0,Amritsar,02/04/2022
LCL,0,Andaman Islands,02/04/2022
PICK UP,0,Andaman Islands,02/04/2022
Tempo-407,0,Andaman Islands,02/04/2022
LCV-709,0,Andaman Islands,02/04/2022
LCV-17 Ft.,0,Andaman Islands,02/04/2022
Truck-19 Ft.,0,Andaman Islands,02/04/2022
Cont.-19 Ft.,0,Andaman Islands,02/04/2022
Cont.-20 Ft.,0,Andaman Islands,02/04/2022
Cont.-32 Ft.,0,Andaman Islands,02/04/2022
Cont.-32 Ft.9,0,Andaman Islands,02/04/2022
LCL,0,Andra Pradesh,02/04/2022
PICK UP,0,Andra Pradesh,02/04/2022
Tempo-407,0,Andra Pradesh,02/04/2022
LCV-709,0,Andra Pradesh,02/04/2022
LCV-17 Ft.,0,Andra Pradesh,02/04/2022
Truck-19 Ft.,0,Andra Pradesh,02/04/2022
Cont.-19 Ft.,0,Andra Pradesh,02/04/2022
Cont.-20 Ft.,0,Andra Pradesh,02/04/2022
Cont.-32 Ft.,0,Andra Pradesh,02/04/2022
Cont.-32 Ft.9,0,Andra Pradesh,02/04/2022
LCL,0,At Aslali,02/04/2022
PICK UP,0,At Aslali,02/04/2022
Tempo-407,0,At Aslali,02/04/2022
LCV-709,0,At Aslali,02/04/2022
LCV-17 Ft.,0,At Aslali,02/04/2022
Truck-19 Ft.,0,At Aslali,02/04/2022
Cont.-19 Ft.,0,At Aslali,02/04/2022
Cont.-20 Ft.,0,At Aslali,02/04/2022
Cont.-32 Ft.,0,At Aslali,02/04/2022
Cont.-32 Ft.9,0,At Aslali,02/04/2022
LCL,0,Atlanta GA,02/04/2022
Export 20 ft,0,Atlanta GA,02/04/2022
Export 40 ft,0,Atlanta GA,02/04/2022
LCL,0,Aurangabad,02/04/2022
PICK UP,0,Aurangabad,02/04/2022
Tempo-407,0,Aurangabad,02/04/2022
LCV-709,0,Aurangabad,02/04/2022
