Vehicle Name,Rate,Destination,UpdatedDate
Cont.-20 Ft.,10800,Kalamboli,01/01/2022
Cont.-19 Ft.,37500,Kanchipuram,01/01/2022
Cont.-20 Ft.,39000,Kanchipuram,01/01/2022
Cont.-19 Ft.,59700,Kanpur,01/01/2022
Cont.-20 Ft.,61200,Kanpur,01/01/2022
Cont.-32 Ft.,71300,Kanpur,01/01/2022
Cont.-32 Ft.9,79500,Kanpur,01/01/2022
Cont.-20 Ft.,62000,Kapurthala,01/01/2022
Cont.-32 Ft.,77900,Kapurthala,01/01/2022
Cont.-32 Ft.9,87500,Kapurthala,01/01/2022
PICK UP,4700,Khalapur,01/01/2022
Tempo-407,5500,Khalapur,01/01/2022
LCV-709,6500,Khalapur,01/01/2022
LCV-17 Ft.,7100,Khalapur,01/01/2022
Truck-19 Ft.,7600,Khalapur,01/01/2022
Cont.-19 Ft.,9700,Khalapur,01/01/2022
Cont.-20 Ft.,10200,Khalapur,01/01/2022
PICK UP,4400,Khopoli,01/01/2022
Tempo-407,5200,Khopoli,01/01/2022
LCV-709,6600,Khopoli,01/01/2022
LCV-17 Ft.,7000,Khopoli,01/01/2022
Truck-19 Ft.,7700,Khopoli,01/01/2022
Cont.-19 Ft.,9300,Khopoli,01/01/2022
Cont.-20 Ft.,9800,Khopoli,01/01/2022
Cont.-20 Ft.,68900,Khurda,01/01/2022
Cont.-32 Ft.,84500,Khurda,01/01/2022
Cont.-32 Ft.9,93000,Khurda,01/01/2022
LCV-17 Ft.,16400,Kolhapur,01/01/2022
Truck-19 Ft.,18500,Kolhapur,01/01/2022
Cont.-19 Ft.,76700,Kolkata,01/01/2022
Cont.-20 Ft.,76700,Kolkata,01/01/2022
Cont.-32 Ft.,97000,Kolkata,01/01/2022
Cont.-32 Ft.9,105500,Kolkata,01/01/2022
Cont.-19 Ft.,45800,Kota,01/01/2022
Cont.-20 Ft.,48300,Kota,01/01/2022
Cont.-32 Ft.,65800,Kota,01/01/2022
PICK UP,6600,Kurakumbh,01/01/2022
Tempo-407,7600,Kurakumbh,01/01/2022
LCV-709,8100,Kurakumbh,01/01/2022
LCV-17 Ft.,9400,Kurakumbh,01/01/2022
Truck-19 Ft.,10200,Kurakumbh,01/01/2022
Cont.-19 Ft.,10800,Kurakumbh,01/01/2022
